Occupation (SOC code),Employment(1),Hourly mean wage,Annual mean wage(2)
Magnetic Resonance Imaging Technologists(292035),       38070,       37.41,       77820
Medical Dosimetrists(292036),        2400,       59.98,      124750
Emergency Medical Technicians and Paramedics(292040),      257910,       19.94,       41480
Emergency Medical Technicians(292042),      161400,       17.64,       36690
Paramedics(292043),       96510,       23.80,       49500
Health Practitioner Support Technologists and Technicians(292050),      845080,       19.31,       40170
Dietetic Technicians(292051),       21610,       16.42,       34160
Pharmacy Technicians(292052),      436630,       18.25,       37970
Psychiatric Technicians(292053),       93410,       18.27,       38000
Surgical Technologists(292055),      109060,       25.77,       53590
Veterinary Technologists and Technicians(292056),      118670,       18.39,       38250
Ophthalmic Medical Technicians(292057),       65700,       19.77,       41120
Licensed Practical and Licensed Vocational Nurses(292061),      641240,       24.93,       51850
Medical Records Specialists(292072),      180570,       23.23,       48310
"Opticians, Dispensing(292081)",       73270,       20.70,       43060
Miscellaneous Health Technologists and Technicians(292090),      161980,       24.96,       51910
Orthotists and Prosthetists(292091),       10410,       38.38,       79820
Hearing Aid Specialists(292092),       10790,       28.83,       59960
"Health Technologists and Technicians, All Other(292099)",      140770,       23.67,       49230
Other Healthcare Practitioners and Technical Occupations(299000),      128060,       29.55,       61470
Health Information Technologists and Medical Registrars(299021),       37900,       29.53,       61410
Miscellaneous Health Practitioners and Technical Workers(299090),       90160,       29.56,       61490
Athletic Trainers(299091),       26070,           -,       54650
Genetic Counselors(299092),        2740,       41.65,       86640
Surgical Assistants(299093),       17250,       28.45,       59170
"Healthcare Practitioners and Technical Workers, All Other(299099)",       44100,       31.19,       64880
Healthcare Support Occupations(310000),     6603680,       16.02,       33330
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides(311100)",     4765620,       14.64,       30440
Home Health and Personal Care Aides(311120),     3366480,       14.07,       29260
"Nursing Assistants, Orderlies, and Psychiatric Aides(311130)",     1399130,       16.01,       33290
Nursing Assistants(311131),     1314830,       15.99,       33250
Orderlies(311132),       45160,       16.08,       33440
Psychiatric Aides(311133),       39140,       16.65,       34640
Occupational Therapy and Physical Therapist Assistants and Aides(312000),      181410,       25.91,       53900
Occupational Therapy Assistants and Aides(312010),       45350,       29.69,       61760
Occupational Therapy Assistants(312011),       41980,       30.56,       63560
Occupational Therapy Aides(312012),        3370,       18.86,       39230
Physical Therapist Assistants and Aides(312020),      136050,       24.65,       51280
Physical Therapist Assistants(312021),       93660,       29.20,       60740
Physical Therapist Aides(312022),       42390,       14.60,       30370
Other Healthcare Support Occupations(319000),     1656660,       18.93,       39360
Massage Therapists(319011),       81030,       23.68,       49260
Miscellaneous Healthcare Support Occupations(319090),     1575620,       18.68,       38860
Dental Assistants(319091),      347170,       20.44,       42510
Medical Assistants(319092),      727760,       18.36,       38190
Medical Equipment Preparers(319093),       61170,       20.40,       42420
Medical Transcriptionists(319094),       55830,       16.45,       34220
Pharmacy Aides(319095),       43560,       16.61,       34560
Veterinary Assistants and Laboratory Animal Caretakers(319096),       98970,       15.28,       31780
Phlebotomists(319097),      132750,       18.49,       38450
"Healthcare Support Workers, All Other(319099)",      108410,       19.56,       40690
Protective Service Occupations(330000),     3385030,       25.68,       53420
Supervisors of Protective Service Workers(331000),      342810,       38.95,       81010
First-Line Supervisors of Law Enforcement Workers(331010),      182700,       43.32,       90110
First-Line Supervisors of Correctional Officers(331011),       54470,       33.53,       69750
First-Line Supervisors of Police and Detectives(331012),      128230,       47.48,       98760
First-Line Supervisors of Firefighting and Prevention Workers(331021),       80890,       40.03,       83270
"Miscellaneous First-Line Supervisors, Protective Service Workers(331090)",       79230,       27.75,       57730
First-Line Supervisors of Security Workers(331091),       55450,       26.48,       55080
"First-Line Supervisors of Protective Service Workers, All Other(331099)",       23780,       30.73,       63910
Firefighting and Prevention Workers(332000),      334670,       26.88,       55910
Firefighters(332011),      317310,       26.58,       55290
Fire Inspectors(332020),       17370,       32.32,       67230
Fire Inspectors and Investigators(332021),       14600,       33.50,       69680
Forest Fire Inspectors and Prevention Specialists(332022),        2770,       26.12,       54340
Law Enforcement Workers(333000),     1200060,       31.91,       66370
"Bailiffs, Correctional Officers, and Jailers(333010)",      409020,       25.66,       53380
Bailiffs(333011),       16420,       25.16,       52340
Correctional Officers and Jailers(333012),      392600,       25.69,       53420
Detectives and Criminal Investigators(333021),      107890,       43.45,       90370
Fish and Game Wardens(333031),        6730,       27.98,       58190
Parking Enforcement Workers(333041),        7450,       22.14,       46050
Police Officers(333050),      668970,       34.01,       70740
Police and Sheriff's Patrol Officers(333051),      665380,       34.02,       70750
Transit and Railroad Police(333052),        3590,       33.45,       69570
Other Protective Service Workers(339000),     1507480,       17.44,       36280
Animal Control Workers(339011),       11600,       20.49,       42620
Private Detectives and Investigators(339021),       28860,       29.31,       60970
Security Guards and Gambling Surveillance Officers(339030),     1066280,       17.24,       35860
Gaming Surveillance Officers and Gambling Investigators(339031),        9190,       18.31,       38080
Security Guards(339032),     1057100,       17.23,       35830
Miscellaneous Protective Service Workers(339090),      400740,       17.04,       35450
Crossing Guards and Flaggers(339091),       82690,       17.15,       35670
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers(339092)",      114320,       13.14,       27320
Transportation Security Screeners(339093),       48320,       22.30,       46380
School Bus Monitors(339094),       55310,       14.53,       30220
"Protective Service Workers, All Other(339099)",      100110,       20.27,       42160
Food Preparation and Serving Related Occupations(350000),    11201480,       14.16,       29450
Supervisors of Food Preparation and Serving Workers(351010),     1170410,       19.77,       41130
Chefs and Head Cooks(351011),      129810,       27.37,       56920
First-Line Supervisors of Food Preparation and Serving Workers(351012),     1040600,       18.82,       39150
Cooks and Food Preparation Workers(352000),     3281610,       14.13,       29380
Cooks(352010),     2498260,       14.21,       29560
"Cooks, Fast Food(352011)",      768130,       12.25,       25490
"Cooks, Institution and Cafeteria(352012)",      392860,       15.15,       31520
"Cooks, Private Household(352013)",         440,       20.80,       43260
"Cooks, Restaurant(352014)",     1193860,       15.21,       31630
"Cooks, Short Order(352015)",      124800,       13.51,       28110
"Cooks, All Other(352019)",       18170,       16.05,       33390
Food Preparation Workers(352021),      783350,       13.85,       28810
Food and Beverage Serving Workers(353000),     5627500,       13.23,       27520
Bartenders(353011),      485330,       14.59,       30340
Fast Food and Counter Workers(353023),     3095120,       12.53,       26060
Waiters and Waitresses(353031),     1804030,       13.95,       29010
"Food Servers, Nonrestaurant(353041)",      243030,       14.19,       29500
Other Food Preparation and Serving Related Workers(359000),     1121960,       13.06,       27170
Dining Room and Cafeteria Attendants and Bartender Helpers(359011),      336970,       13.31,       27690
Dishwashers(359021),      377040,       13.15,       27350
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop(359031)",      324690,       12.50,       26000
"Food Preparation and Serving Related Workers, All Other(359099)",       83240,       13.83,       28760
Building and Grounds Cleaning and Maintenance Occupations(370000),     4108810,       16.23,       33750
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers(371010),      270020,       23.38,       48620
First-Line Supervisors of Housekeeping and Janitorial Workers(371011),      153640,       21.68,       45100
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers(371012)",      116380,       25.61,       53270
Building Cleaning and Pest Control Workers(372000),     2862840,       15.19,       31590
Building Cleaning Workers(372010),     2777470,       15.05,       31310
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners(372011)",     2036680,       15.32,       31860
Maids and Housekeeping Cleaners(372012),      723430,       14.22,       29580
"Building Cleaning Workers, All Other(372019)",       17350,       18.52,       38530
Pest Control Workers(372021),       85370,       19.54,       40640
Grounds Maintenance Workers(373010),      975950,       17.29,       35960
Landscaping and Groundskeeping Workers(373011),      892450,       16.94,       35240
"Pesticide Handlers, Sprayers, and Applicators, Vegetation(373012)",       25820,       19.47,       40500
Tree Trimmers and Pruners(373013),       41920,       22.81,       47450
"Grounds Maintenance Workers, All Other(373019)",       15770,       18.81,       39120
Personal Care and Service Occupations(390000),     2566440,       16.17,       33620
Supervisors of Personal Care and Service Workers(391000),      187400,       22.57,       46950
First-Line Supervisors of Entertainment and Recreation Workers(391010),       86370,       23.25,       48370
First-Line Supervisors of Gambling Services Workers(391013),       19510,       25.28,       52590
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services(391014)",       66860,       22.66,       47130
First-Line Supervisors of Personal Service Workers(391022),      101030,       21.99,       45730
Animal Care and Service Workers(392000),      241520,       14.47,       30100
Animal Trainers(392011),       15840,       18.38,       38230
Animal Caretakers(392021),      225680,       14.19,       29520
Entertainment Attendants and Related Workers(393000),      418960,       13.06,       27170
Gambling Services Workers(393010),       82860,       14.11,       29340
Gambling Dealers(393011),       64700,       13.92,       28960
Gambling and Sports Book Writers and Runners(393012),        7340,       14.00,       29110
"Gambling Service Workers, All Other(393019)",       10820,       15.28,       31790
Motion Picture Projectionists(393021),        1620,       15.85,       32970
"Ushers, Lobby Attendants, and Ticket Takers(393031)",       54970,       12.69,       26390
Miscellaneous Entertainment Attendants and Related Workers(393090),      279510,       12.81,       26650
Amusement and Recreation Attendants(393091),      262170,       12.55,       26110
Costume Attendants(393092),        3380,       26.25,       54590
"Locker Room, Coatroom, and Dressing Room Attendants(393093)",        9670,       14.53,       30220
"Entertainment Attendants and Related Workers, All Other(393099)",        4290,       14.27,       29680
Funeral Service Workers(394000),       63300,       20.58,       42800
Embalmers and Crematory Operators(394010),        6110,       22.77,       47350
Embalmers(394011),        4070,       24.62,       51210
Crematory Operators(394012),        2040,       19.07,       39660
Funeral Attendants(394021),       32490,       15.21,       31630
"Morticians, Undertakers, and Funeral Arrangers(394031)",       24700,       27.10,       56360
Personal Appearance Workers(395000),      481530,       16.99,       35350
"Barbers, Hairdressers, Hairstylists and Cosmetologists(395010)",      298880,       17.30,       35980
Barbers(395011),       12910,       17.16,       35700
"Hairdressers, Hairstylists, and Cosmetologists(395012)",      285980,       17.30,       35990
Miscellaneous Personal Appearance Workers(395090),      182640,       16.50,       34310
"Makeup Artists, Theatrical and Performance(395091)",        1960,       59.80,      124380
Manicurists and Pedicurists(395092),      120540,       14.65,       30480
Shampooers(395093),        9560,       12.09,       25160
Skincare Specialists(395094),       50580,       20.05,       41700
"Baggage Porters, Bellhops, and Concierges(396010)",       54100,       16.68,       34680
Baggage Porters and Bellhops(396011),       20530,       14.44,       30040
Concierges(396012),       33560,       18.04,       37520
Tour and Travel Guides(397010),       30980,       15.96,       33200
Other Personal Care and Service Workers(399000),     1088670,       15.99,       33260
Childcare Workers(399011),      438520,       13.31,       27680
Recreation and Fitness Workers(399030),      485620,       18.43,       38340
Exercise Trainers and Group Fitness Instructors(399031),      221600,       22.05,       45870
Recreation Workers(399032),      264020,       15.39,       32020
Residential Advisors(399041),       92500,       16.81,       34950
"Personal Care and Service Workers, All Other(399099)",       72030,       14.80,       30790
Sales and Related Occupations(410000),    13256290,       22.15,       46080
First-Line Supervisors of Sales Workers(411010),     1387190,       26.38,       54880
First-Line Supervisors of Retail Sales Workers(411011),     1143260,       22.54,       46890
First-Line Supervisors of Non-Retail Sales Workers(411012),      243920,       44.38,       92320
Retail Sales Workers(412000),     7665410,       14.45,       30060
Cashiers(412010),     3335170,       12.88,       26780
Cashiers(412011),     3318020,       12.87,       26770
Gambling Change Persons and Booth Cashiers(412012),       17150,       14.00,       29130
Counter and Rental Clerks and Parts Salespersons(412020),      636750,       17.54,       36480
Counter and Rental Clerks(412021),      371620,       17.39,       36170
Parts Salespersons(412022),      265130,       17.75,       36920
Retail Salespersons(412031),     3693490,       15.35,       31920
"Sales Representatives, Services(413000)",     2009700,       35.95,       74770
Advertising Sales Agents(413011),       96660,       31.99,       66540
Insurance Sales Agents(413021),      422600,       33.34,       69340
"Securities, Commodities, and Financial Services Sales Agents(413031)",      426870,       44.84,       93260
Travel Agents(413041),       37190,       22.39,       46580
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel(413091)",     1026390,       34.19,       71110
"Sales Representatives, Wholesale and Manufacturing(414010)",     1508660,       37.38,       77750
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products(414011)",      266160,       49.40,      102750
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products(414012)",     1242490,       34.81,       72390
Other Sales and Related Workers(419000),      685330,       25.76,       53580
"Models, Demonstrators, and Product Promoters(419010)",       42670,       19.01,       39550
Demonstrators and Product Promoters(419011),       40680,       17.78,       36990
Models(419012),        2000,           -,           -
Real Estate Brokers and Sales Agents(419020),      224380,       32.16,       66880
Real Estate Brokers(419021),       48460,       41.58,       86490
Real Estate Sales Agents(419022),      175920,       29.56,       61480
Sales Engineers(419031),       59550,       57.03,      118630
Telemarketers(419041),      115130,       14.74,       30670
Miscellaneous Sales and Related Workers(419090),      243600,       18.61,       38720
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers(419091)",        7860,       16.81,       34970
"Sales and Related Workers, All Other(419099)",      235740,       18.67,       38840
Office and Administrative Support Occupations(430000),    18299380,       20.88,       43430
First-Line Supervisors of Office and Administrative Support Workers(431011),     1443630,       30.47,       63380
Communications Equipment Operators(432000),       53400,       16.98,       35310
"Switchboard Operators, Including Answering Service(432011)",       48190,       16.63,       34590
Telephone Operators(432021),        3870,       18.93,       39370
"Communications Equipment Operators, All Other(432099)",        1340,       23.79,       49470
Financial Clerks(433000),     2768230,       20.84,       43340
Bill and Account Collectors(433011),      212900,       19.85,       41280
Billing and Posting Clerks(433021),      429080,       20.55,       42750
"Bookkeeping, Accounting, and Auditing Clerks(433031)",     1509370,       21.70,       45140
Gambling Cage Workers(433041),       11140,       14.79,       30770
Payroll and Timekeeping Clerks(433051),      149290,       23.83,       49560
Procurement Clerks(433061),       61930,       21.60,       44930
Tellers(433071),      364210,       16.79,       34930
"Financial Clerks, All Other(433099)",       30310,       23.00,       47830
Information and Record Clerks(434000),     5461400,       18.59,       38670
Brokerage Clerks(434011),       39980,       27.75,       57710
Correspondence Clerks(434021),        7060,       20.06,       41710
"Court, Municipal, and License Clerks(434031)",      150170,       21.57,       44870
"Credit Authorizers, Checkers, and Clerks(434041)",       16820,       21.42,       44540
Customer Service Representatives(434051),     2787070,       18.79,       39070
"Eligibility Interviewers, Government Programs(434061)",      151340,       23.35,       48570
File Clerks(434071),       85460,       17.70,       36820
"Hotel, Motel, and Resort Desk Clerks(434081)",      220380,       13.48,       28040
"Interviewers, Except Eligibility and Loan(434111)",      169840,       18.67,       38840
"Library Assistants, Clerical(434121)",       78470,       15.62,       32490
Loan Interviewers and Clerks(434131),      238610,       21.59,       44910
New Accounts Clerks(434141),       40500,       19.83,       41250
Order Clerks(434151),      133850,       20.11,       41820
"Human Resources Assistants, Except Payroll and Timekeeping(434161)",      102770,       21.56,       44840
Receptionists and Information Clerks(434171),      983150,       15.82,       32910
Reservation and Transportation Ticket Agents and Travel Clerks(434181),      100860,       21.94,       45630
"Information and Record Clerks, All Other(434199)",      155080,       21.13,       43950
"Material Recording, Scheduling, Dispatching, and Distributing Workers(435000)",     2213750,       21.97,       45710
Cargo and Freight Agents(435011),       85750,       23.28,       48420
Couriers and Messengers(435021),       68310,       16.48,       34270
Dispatchers(435030),      291380,       22.49,       46780
Public Safety Telecommunicators(435031),       97050,       22.61,       47030
"Dispatchers, Except Police, Fire, and Ambulance(435032)",      194330,       22.43,       46650
"Meter Readers, Utilities(435041)",       24000,       22.81,       47430
Postal Service Workers(435050),      527000,       25.71,       53480
Postal Service Clerks(435051),       79320,       25.58,       53210
Postal Service Mail Carriers(435052),      335540,       26.14,       54370
"Postal Service Mail Sorters, Processors, and Processing Machine Operators(435053)",      112130,       24.52,       51010
"Production, Planning, and Expediting Clerks(435061)",      367200,       25.11,       52220
"Shipping, Receiving, and Inventory Clerks(435071)",      795360,       18.37,       38210
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping(435111)",       54760,       19.01,       39540
Secretaries and Administrative Assistants(436010),     3104790,       21.76,       45250
Executive Secretaries and Executive Administrative Assistants(436011),      466910,       32.15,       66870
Legal Secretaries and Administrative Assistants(436012),      155250,       25.26,       52540
Medical Secretaries and Administrative Assistants(436013),      656640,       19.11,       39740
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive(436014)",     1825980,       19.75,       41080
Other Office and Administrative Support Workers(439000),     3254180,       18.98,       39480
Data Entry and Information Processing Workers(439020),      189100,       18.07,       37590
Data Entry Keyers(439021),      147170,       17.28,       35940
Word Processors and Typists(439022),       41930,       20.85,       43370
Desktop Publishers(439031),        7600,       24.49,       50930
Insurance Claims and Policy Processing Clerks(439041),      218300,       22.02,       45790
"Mail Clerks and Mail Machine Operators, Except Postal Service(439051)",       69400,       16.54,       34390
"Office Clerks, General(439061)",     2578180,       18.75,       38990
"Office Machine Operators, Except Computer(439071)",       32920,       17.84,       37110
Proofreaders and Copy Markers(439081),        5340,       22.12,       46010
Statistical Assistants(439111),        6190,       25.68,       53420
"Office and Administrative Support Workers, All Other(439199)",      147140,       20.47,       42580
"Farming, Fishing, and Forestry Occupations(450000)",      452490,       16.70,       34730
"First-Line Supervisors of Farming, Fishing, and Forestry Workers(451011)",       25770,       26.18,       54450
Agricultural Workers(452000),      383760,       15.60,       32450
Agricultural Inspectors(452011),       13630,       22.80,       47430
Animal Breeders(452021),         950,       20.81,       43270
"Graders and Sorters, Agricultural Products(452041)",       25560,       14.62,       30400
Miscellaneous Agricultural Workers(452090),      343630,       15.37,       31980
Agricultural Equipment Operators(452091),       26180,       17.44,       36280
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse(452092)",      277200,       15.11,       31440
"Farmworkers, Farm, Ranch, and Aquacultural Animals(452093)",       34140,       15.46,       32150
"Agricultural Workers, All Other(452099)",        6100,       17.88,       37190
"Forest, Conservation, and Logging Workers(454000)",       42330,       20.83,       43320
Forest and Conservation Workers(454011),        6300,       16.20,       33690
Logging Workers(454020),       36030,       21.63,       45000
Fallers(454021),        4170,       25.85,       53760
Logging Equipment Operators(454022),       25510,       21.14,       43960
Log Graders and Scalers(454023),        3260,       19.96,       41520
"Logging Workers, All Other(454029)",        3080,       21.84,       45430
Construction and Extraction Occupations(470000),     5848950,       26.87,       55900
First-Line Supervisors of Construction Trades and Extraction Workers(471011),      665870,       36.09,       75060
Construction Trades Workers(472000),     4362080,       26.03,       54140
Boilermakers(472011),       12920,       33.21,       69070
"Brickmasons, Blockmasons, and Stonemasons(472020)",       64950,       28.78,       59870
Brickmasons and Blockmasons(472021),       55950,       29.53,       61430
Stonemasons(472022),        9000,       24.12,       50170
Carpenters(472031),      668060,       26.53,       55190
"Carpet, Floor, and Tile Installers and Finishers(472040)",       83600,       24.95,       51890
Carpet Installers(472041),       19790,       23.42,       48710
"Floor Layers, Except Carpet, Wood, and Hard Tiles(472042)",       18300,       25.90,       53880
Floor Sanders and Finishers(472043),        4340,       21.34,       44380
Tile and Stone Setters(472044),       41160,       25.64,       53330
"Cement Masons, Concrete Finishers, and Terrazzo Workers(472050)",      189240,       24.52,       51000
Cement Masons and Concrete Finishers(472051),      186600,       24.47,       50900
Terrazzo Workers and Finishers(472053),        2640,       28.07,       58380
Construction Laborers(472061),      968760,       21.22,       44130
Construction Equipment Operators(472070),      452780,       26.87,       55890
"Paving, Surfacing, and Tamping Equipment Operators(472071)",       44200,       24.32,       50590
Pile Driver Operators(472072),        3760,       36.51,       75950
Operating Engineers and Other Construction Equipment Operators(472073),      404820,       27.06,       56280
"Drywall Installers, Ceiling Tile Installers, and Tapers(472080)",      111650,       27.00,       56160
Drywall and Ceiling Tile Installers(472081),       97070,       26.35,       54810
Tapers(472082),       14580,       31.32,       65140
Electricians(472111),      650580,       30.44,       63310
Glaziers(472121),       52700,       24.98,       51950
Insulation Workers(472130),       58370,       24.18,       50300
"Insulation Workers, Floor, Ceiling, and Wall(472131)",       30360,       21.54,       44810
"Insulation Workers, Mechanical(472132)",       28010,       27.05,       56260
Painters and Paperhangers(472140),      216560,       22.69,       47180
"Painters, Construction and Maintenance(472141)",      214220,       22.66,       47140
Paperhangers(472142),        2340,       24.79,       51560
"Pipelayers, Plumbers, Pipefitters, and Steamfitters(472150)",      450940,       29.93,       62250
Pipelayers(472151),       33330,       23.32,       48510
"Plumbers, Pipefitters, and Steamfitters(472152)",      417620,       30.46,       63350
Plasterers and Stucco Masons(472161),       26980,       26.35,       54810
Reinforcing Iron and Rebar Workers(472171),       16420,       28.35,       58960
Roofers(472181),      129890,       23.51,       48890
Sheet Metal Workers(472211),      122630,       28.25,       58760
Structural Iron and Steel Workers(472221),       68620,       29.46,       61270
Solar Photovoltaic Installers(472231),       16420,       24.38,       50710
"Helpers, Construction Trades(473010)",      206900,       17.95,       37340
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters(473011)",       18210,       20.85,       43370
Helpers--Carpenters(473012),       27540,       17.95,       37340
Helpers--Electricians(473013),       72150,       17.66,       36720
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons(473014)",        8940,       16.96,       35270
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters(473015)",       45930,       17.47,       36350
Helpers--Roofers(473016),        6830,       17.31,       36000
"Helpers, Construction Trades, All Other(473019)",       27300,       18.08,       37610
Other Construction and Related Workers(474000),      430760,       26.28,       54670
Construction and Building Inspectors(474011),      117830,       32.93,       68480
Elevator and Escalator Installers and Repairers(474021),       22510,       43.91,       91320
Fence Erectors(474031),       24470,       19.78,       41140
Hazardous Materials Removal Workers(474041),       44240,       23.69,       49280
Highway Maintenance Workers(474051),      141150,       21.32,       44340
Rail-Track Laying and Maintenance Equipment Operators(474061),       21030,       29.22,       60770
Septic Tank Servicers and Sewer Pipe Cleaners(474071),       28620,       21.82,       45390
Miscellaneous Construction and Related Workers(474090),       30920,       21.81,       45370
Extraction Workers(475000),      183340,       24.95,       51900
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas(475010)",       51910,       27.14,       56460
"Derrick Operators, Oil and Gas(475011)",        7880,       25.07,       52140
"Rotary Drill Operators, Oil and Gas(475012)",       11170,       29.73,       61840
"Service Unit Operators, Oil and Gas(475013)",       32870,       26.76,       55660
Surface Mining Machine Operators and Earth Drillers(475020),       51520,       24.52,       51000
"Excavating and Loading Machine and Dragline Operators, Surface Mining(475022)",       35720,       23.97,       49850
"Earth Drillers, Except Oil and Gas(475023)",       15800,       25.77,       53600
"Explosives Workers, Ordnance Handling Experts, and Blasters(475032)",        5370,       27.44,       57070
Underground Mining Machine Operators(475040),       24200,       27.85,       57920
Continuous Mining Machine Operators(475041),       14740,       27.61,       57430
"Roof Bolters, Mining(475043)",        1850,       28.45,       59170
"Loading and Moving Machine Operators, Underground Mining(475044)",        4450,       27.56,       57330
"Underground Mining Machine Operators, All Other(475049)",        3150,       28.99,       60290
"Rock Splitters, Quarry(475051)",        4450,       20.02,       41630
"Roustabouts, Oil and Gas(475071)",       34520,       21.51,       44730
Helpers--Extraction Workers(475081),        5980,       19.65,       40860
"Extraction Workers, All Other(475099)",        5380,       24.50,       50960
"Installation, Maintenance, and Repair Occupations(490000)",     5574410,       25.66,       53380
"First-Line Supervisors of Mechanics, Installers, and Repairers(491011)",      526240,       35.38,       73590
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers(492000)",      499670,       27.53,       57260
"Computer, Automated Teller, and Office Machine Repairers(492011)",       86420,       21.24,       44170
Radio and Telecommunications Equipment Installers and Repairers(492020),      186530,       29.09,       60510
"Radio, Cellular, and Tower Equipment Installers and Repairers(492021)",       13700,       30.05,       62500
"Telecommunications Equipment Installers and Repairers, Except Line Installers(492022)",      172830,       29.02,       60350
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers(492090)",      226720,       28.65,       59590
Avionics Technicians(492091),       18910,       33.59,       69860
"Electric Motor, Power Tool, and Related Repairers(492092)",       15880,       23.43,       48740
"Electrical and Electronics Installers and Repairers, Transportation Equipment(492093)",       10710,       33.97,       70650
"Electrical and Electronics Repairers, Commercial and Industrial Equipment(492094)",       50780,       30.88,       64230
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay(492095)",       22490,       42.13,       87640
"Electronic Equipment Installers and Repairers, Motor Vehicles(492096)",        9000,       21.01,       43690
Audiovisual Equipment Installers and Repairers(492097),       21540,       22.18,       46120
Security and Fire Alarm Systems Installers(492098),       77420,       25.08,       52170
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers(493000)",     1570020,       24.23,       50400
Aircraft Mechanics and Service Technicians(493011),      125440,       33.40,       69470
Automotive Technicians and Repairers(493020),      783310,       23.22,       48310
Automotive Body and Related Repairers(493021),      137300,       24.36,       50660
Automotive Glass Installers and Repairers(493022),       16230,       19.56,       40690
Automotive Service Technicians and Mechanics(493023),      629780,       23.07,       47990
Bus and Truck Mechanics and Diesel Engine Specialists(493031),      261420,       25.49,       53020
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics(493040),      203060,       26.87,       55900
Farm Equipment Mechanics and Service Technicians(493041),       35030,       22.71,       47250
"Mobile Heavy Equipment Mechanics, Except Engines(493042)",      145230,       27.54,       57280
Rail Car Repairers(493043),       22800,       29.04,       60400
Small Engine Mechanics(493050),       72800,       20.53,       42690
Motorboat Mechanics and Service Technicians(493051),       23080,       22.43,       46660
Motorcycle Mechanics(493052),       15020,       20.18,       41970
Outdoor Power Equipment and Other Small Engine Mechanics(493053),       34700,       19.41,       40360
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers(493090)",      123980,       16.51,       34340
Bicycle Repairers(493091),       14760,       16.52,       34360
Recreational Vehicle Service Technicians(493092),       16030,       21.60,       44930
Tire Repairers and Changers(493093),       93180,       15.63,       32520
"Other Installation, Maintenance, and Repair Occupations(499000)",     2978490,       24.39,       50730
Control and Valve Installers and Repairers(499010),       68170,       28.78,       59860
Mechanical Door Repairers(499011),       23300,       21.88,       45520
"Control and Valve Installers and Repairers, Except Mechanical Door(499012)",       44870,       32.36,       67310
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers(499021)",      356960,       26.29,       54690
Home Appliance Repairers(499031),       28120,       21.80,       45340
"Industrial Machinery Installation, Repair, and Maintenance Workers(499040)",      470650,       28.05,       58350
Industrial Machinery Mechanics(499041),      373090,       28.26,       58780
"Maintenance Workers, Machinery(499043)",       57660,       25.75,       53570
Millwrights(499044),       39240,       29.45,       61260
"Refractory Materials Repairers, Except Brickmasons(499045)",         660,       26.33,       54760
Line Installers and Repairers(499050),      225460,       34.37,       71500
Electrical Power-Line Installers and Repairers(499051),      123940,       38.01,       79060
Telecommunications Line Installers and Repairers(499052),      101530,       29.93,       62250
Precision Instrument and Equipment Repairers(499060),       74530,       26.38,       54870
Camera and Photographic Equipment Repairers(499061),        2340,       21.28,       44260
Medical Equipment Repairers(499062),       53400,       27.13,       56420
Musical Instrument Repairers and Tuners(499063),        5710,       19.11,       39740
Watch and Clock Repairers(499064),        1970,       21.86,       45460
"Precision Instrument and Equipment Repairers, All Other(499069)",       11110,       28.40,       59070
"Maintenance and Repair Workers, General(499071)",     1416740,       21.60,       44920
Wind Turbine Service Technicians(499081),       10100,       28.16,       58580
"Miscellaneous Installation, Maintenance, and Repair Workers(499090)",      327750,       21.01,       43710
"Coin, Vending, and Amusement Machine Servicers and Repairers(499091)",       27540,       20.20,       42010
Commercial Divers(499092),        2670,       39.43,       82010
Locksmiths and Safe Repairers(499094),       15380,       22.98,       47810
Manufactured Building and Mobile Home Installers(499095),        3530,       17.23,       35830
Riggers(499096),       17980,       25.05,       52100
Signal and Track Switch Repairers(499097),        8090,       35.68,       74220
"Helpers--Installation, Maintenance, and Repair Workers(499098)",       88480,       16.87,       35090
"Installation, Maintenance, and Repair Workers, All Other(499099)",      164070,       21.82,       45380
